Title,Version,Created By,Created Date,Language,Primary Owner,Primary Owners,Business Reviewers,Domain Owner,Localization Config,Last Modified By,Last Modified Date,Status,Geography,Node Id,Node Type,Model Set Id,Model Set Version,Topics,Is Translation,Source Language,Source Id,Auto Translate,Translation Method,Last Published On,Last Published By,Archival Date,Archival By,Employee Class,Job Level,Line Of Business,Location Type,Hourly Salaried,Path,Country,Content Type,Channel,Show Managed By On Page,Template,Ticket Id,Is Searchable,Entitlement,Word Count,On Time,Off Time,Atms Due Date,Translation Approver,Translation Scheduled Date,Translation Status,Translation Workflow Template,Article Type,Category,Date Moved,Key Words,Open In New Tab,Fragment Reference,Content Url
 Why do I have to book travel in the program?,0.13.0,meichunq,2026-05-26T17:27:26.850Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",meichunq,2026-05-26T17:27:26.850Z,DRAFT,Global,79fa79b9-a11e-4527-af19-202f07567615,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/79fa79b9-a11e-4527-af19-202f07567615/0.13.0/content
Where Can I Locate My Previously Booked Trips? (Regional),0.2.0,bmelmihe,2026-05-21T12:57:04.846Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",bmelmihe,2026-05-21T20:21:34.650Z,UNPUBLISHED,"Bahrain,Brazil,China,India,Israel,Japan,Jordan,Kenya,Kuwait,Mauritius,Mexico,Morocco,Saudi Arabia,South Korea,Spain,United Arab Emirates",8d821dd4-b829-4d69-8a50-50b5f2b9d211,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/8d821dd4-b829-4d69-8a50-50b5f2b9d211/0.2.0/content
Why is my booking out of policy? ,0.0.0,steppag,2026-05-21T20:52:47.334Z,en_us,steppag,"steppag,bmelmihe,prichhea",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",steppag,2026-05-21T20:52:47.334Z,DRAFT,Global,eb558531-15e7-4030-bed0-72eaa07b6f9c,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/eb558531-15e7-4030-bed0-72eaa07b6f9c/0.0.0/content
Where Can I Locate My Previously Booked Trips? (Global Access),0.1.0,bmelmihe,2026-05-21T12:56:48.816Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",bmelmihe,2026-05-21T12:56:48.816Z,DRAFT,"Argentina,Australia,Austria,Bangladesh,Belgium,Brunei Darussalam,Cambodia,Chile,Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Indonesia,Ireland,Italy,Lao People's Democratic Republic,Luxembourg,Malaysia,Mauritius,Morocco,Netherlands,New Zealand,Nigeria,North America,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Serbia,Singapore,Slovakia,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Uruguay,Viet Nam",36f2d803-57d2-4ed3-b21e-caba8f6a2e34,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/36f2d803-57d2-4ed3-b21e-caba8f6a2e34/0.1.0/content
What size rental car am I allowed to book?,0.8.0,steppag,2026-05-27T20:01:37.503Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",steppag,2026-05-27T20:01:37.503Z,DRAFT,Global,dbd5222a-4eed-49c9-a87d-54b7edd051ac,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/dbd5222a-4eed-49c9-a87d-54b7edd051ac/0.8.0/content
I need to change my travel plans (Global Access),0.3.0,steppag,2026-05-27T20:06:58.024Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",steppag,2026-05-27T20:06:58.024Z,DRAFT,"Argentina,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Indonesia,Ireland,Italy,Luxembourg,Malaysia,Mauritius,Morocco,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Serbia,Singapore,Slovakia,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,United States,Uruguay,Viet Nam",bbbc8609-7cc8-4e90-9edc-cf1009020f63,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/bbbc8609-7cc8-4e90-9edc-cf1009020f63/0.3.0/content
What Am I Allowed to Book?,0.9.0,bmelmihe,2026-05-20T17:33:49.699Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",bmelmihe,2026-05-20T17:33:49.699Z,DRAFT,Global,5a67d52f-6b49-48d3-8697-293e322c03c5,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/5a67d52f-6b49-48d3-8697-293e322c03c5/0.9.0/content
What Is the Process for Booking a Seat? (Global Access),1.1.0,mtsobis,2026-05-22T15:43:52.818Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""locApprover"":"""",""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false}",mtsobis,2026-05-22T15:43:52.818Z,DRAFT,"Argentina,Australia,Austria,Belgium,Chile,Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Indonesia,Ireland,Italy,Luxembourg,Malaysia,Mauritius,Morocco,Netherlands,Nigeria,North America,Norway,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Serbia,Singapore,Slovakia,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Uruguay,Viet Nam",f0093e4c-160e-401a-bacb-f4427b9d0728,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/f0093e4c-160e-401a-bacb-f4427b9d0728/1.1.0/content
How Do I Request Medical Accommodation for Travel?,0.1.0,prichhea,2026-05-22T17:12:57.570Z,en_us,steppag,"steppag,prichhea,bmelmihe",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",prichhea,2026-05-22T17:12:57.570Z,DRAFT,Global,48046e91-af74-4c6d-8f0d-b93647a424d4,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,"B - Fixed Term Contractor - EU,F - Regular Full Time,H - Regular Part Time - 20 + Hours,I - Intern,J - JV or RC Worker,M - Internal Staffing Solutions,N - Trainee European,P - Apprentice,Q - Field Regular Part Time 20-29,R - Regular Reduced Time 30 + Hrs,S - Seasonal/Short-Term,X - Regular Flex Time - < 20 Hrs","L0,L1,L10,L11,L12,L2,L3,L4,L5,L6,L7,L8,L9","Advertising,Amazon Games,Amazon Pharmacy,Amazon Video and Studios,Amazon Web Services (AWS),Celeste,Devices & Services,Fabric,General & Administrative,Music & Podcasts/Wondery,One Medical,Shopbop,Subsidiaries,Worldwide Amazon Stores,Zappos",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/48046e91-af74-4c6d-8f0d-b93647a424d4/0.1.0/content
How Do I Set Up My Travel Profile? (Japan),0.0.0,bmelmihe,2026-05-21T12:29:15.547Z,en_us,steppag,"steppag,bmelmihe,prichhea",mtsobis,amzn1.abacus.team.looo53floubmzytmswva,"{""autoTranslationMethod"":""ATMS_MT"",""targetLanguages"":[],""autoTranslate"":false,""locApprover"":""""}",bmelmihe,2026-05-21T12:29:15.547Z,DRAFT,Japan,e3e46a05-92f7-43b1-81bf-74710b447725,CONTENT,85dbe259-664e-4cca-9534-4e0a8cd7d2ae,5,"18e0d124-7b0b-4e16-bd95-b301bbc65393,Travel Booking",FALSE,,,FALSE,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,All Employee Classes,All Job Levels,"Advertising,Amazon Games,Amazon Video and Studios,Amazon Web Services (AWS),Devices & Services,General & Administrative,Music & Podcasts/Wondery,Subsidiaries,Worldwide Amazon Stores",All Location Types,All Employees,,,,,FALSE,,,FALSE,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,,,,Mon Feb 01 1700 00:00:00 GMT+0000 (Coordinated Universal Time),,FALSE,,https://corex.pxt.amazon.dev/all-content/18e0d124-7b0b-4e16-bd95-b301bbc65393/e3e46a05-92f7-43b1-81bf-74710b447725/0.0.0/content
